No,Contents
721,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
723,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
725,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
727,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
728,"Los venezolanos que pasan ""regalando"" cepillos de dientes para que uno después les compré 5, son unos ladrones hps"
731,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
733,@NTN24ve Deja de hablar pistoladas turco mafioso que contra Venezuela lo único que hay es cariño y preocupación por el genocidio al cual la están sometiendo: tu jefe el CARNICERO de Cúcuta y demás turcos criminales como tú y algunos venezolanos traidores!
734,QT @ElNacionalWeb: Media Venezuela desplazada por el petrismo madurismo. #CrisisHumanitaria. Los santistas petristas están dispuestos a echar ahora a media población de Colombia con sus medidas socialistas inservibles que solo benefician a criminales https://t.co/PfgawEiVIH ; 20 millones de venezolanos cruzaron a Colombia en 2017 https://t.co/Mv1VOvoFqV https://t.co/DmEWH542Em
736,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
740,@elheraldoco @Valledupar Y donde esta fotohuia q no reacciona ???? Si ya saben donde es ataquen con todo esos hps ratas q lo unico q generan es la descomposición de los jovenes en valledupar hay q actuar sr alcalde menos parques mas acciones en contra de las ratas y venezolanos
742,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
745,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
746,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
748,"@kellymporta_ Un taxista pasó todo el recorrido diciéndome que los venezolanos habíamos venido a dañar su ciudad, a robar, a ser mendigos, y que todas las mujeres habíamos venido a ser putas, ""me perdonas que te lo diga pero es la verdad""."
751,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
752,"RT @jualpi3: @dw_espanol Colombia es ""víctima"" en primera linea; y así como han llegado venezolanos honorables también han llegado vendidos generando más inseguridad"
757,"@CalleLaJeta_ Nooooo!!!! Los venezolanos lo hacen por necesidad, estos personajes son unos ladrones ..... DELINCUENTES!!!! 😡😡😡😡"
758,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
766,"RT @OrozcoRosalin: “Cuando colombianos migraron a Venezuela, este era un país rico y en democracia. Ahora en reciprocidad los venezolanos llegan pero a una Colombia con una economía maltrecha, con unas desigualdades sociales agresivas y con una inseguridad urbana aterradora” https://t.co/1cH3T06y85"
768,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
769,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
771,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
772,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
773,RT @alfredohnc: Ayer los Venezolanos no vieron el peligro que significa esta bandera en su país. // Hoy #PetroEnMedellin https://t.co/eMk8S5HWLy
776,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
781,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
782,RT @JaimeFarfanr: ¡Estamos a tiempo de crear leyes para combatir el fenómeno de la migración venezolana! No podemos permitir que los grupos criminales se aprovechen de la situación. #estonoesunafrontera @URosario @URosarioRadio
783,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
786,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
787,"RT @IndignadosVezla: Cuando los venezolanos entiendan TODOS que el problema : No es la luz No es la salud No es la escasez No es la inflación No es la inseguridad Y que el problema en Venezuela es la #NarcoTiranía y sus #ComplicesCooperantes, Tendremos una oportunidad para ser libres https://t.co/Ad09DKEwuZ"
788,"RT @1Daribel: Estoy CANSADA de los latinos que creen que su país no tenía delincuencia hasta que llegaron los venezolanos, no conocían la droga hasta que llegó un venezolano, no habían visto una prostituta hasta que llegó una venezolana"
789,Autoridades colombianas denuncian creciente participación de venezolanos en acciones criminales https://t.co/uqxixa7BKu
790,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
792,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
794,QT @CorpoRosaBlanca: RT @herbinhoyos: Un grupo de encapuchados -al estilo de los colectivos venezolanos- atacó la sede de @jjUscategui por haber impugnado las c… ; ATENCIÓN: Atacan la sede de campaña de @jjUscategui. Claramente es una retaliación enfocada y directa por haber sido quien le hizo la impugnación a las curules de los violadores de las @FARC_EPueblo ante el CNE. https://t.co/1dWjytToLC
795,RT @NattysMonts: Los venezolanos vinieron a robarle el trabajo hasta a los ladrones
796,RT @DanielBlancoPz: Dos venezolanos han sido asesinados en Chile durante lo que va de mes. Danny Argenis Hernández Carreño (25) y Wilis Barroso Ramírez (38) fueron apuñalados (en situaciones diferentes) mientras trataban de frustrar un atraco en las calles de Santiago.
797,"RT @Vicme100: Que peligro! Aquí el video de Piedad Cordoba exigiendo a los venezolanos hacer colas con gusto para no entorpecer el chavismo, hoy quiere ser Presidente de Colombia: https://t.co/LcNSi8rKyD"
798,Espero estar equivocado..🤦‍♂️ pero lo que está pasando en Bogotá tiene que ver mucho delincuencia venezolana.. me atrevería a decir que hace muchos años no pasa los caos que están pasando en Bogotá.. no tengo nada en contra de ellos pero está llegando lo peor de Venezuela 😞
799,RT @NoticiasVenezue: Uno de cada cinco venezolanos ha sido víctima de la delincuencia https://t.co/40xYuWHbIb https://t.co/n7q4Dj60lz
802,"RT @Feraristeguieta: Qué dolor ver tantos hermanos venezolanos en las calles de Cali pidiendo dinero para sobrevivir. Tuvieron que huir del hambre, de la inseguridad, del desempleo, de la miseria. Todo por culpa de un grupete de desgraciados que siguen amarrados al poder. @NicolasMaduro sinvergüenza."
804,"RT @Feraristeguieta: Qué dolor ver tantos hermanos venezolanos en las calles de Cali pidiendo dinero para sobrevivir. Tuvieron que huir del hambre, de la inseguridad, del desempleo, de la miseria. Todo por culpa de un grupete de desgraciados que siguen amarrados al poder. @NicolasMaduro sinvergüenza."
805,En el barrio El Callejón @PoliciaCucuta con el Grupo #COBRA capturó a un ciudadano #Venezolano por el delito de falsedad de documento público quien se habrían identificado con una tarjeta migratoria de otra persona #ElQueLaHaceLaPaga #SeguridadConLegalidad https://t.co/obIVdTynt2
806,"@WRadioColombia me gustaría Escuchar historia de personas que trabajamos duro, que identifiquen a los venezolanos con valores, no podemos seguir permitiendo las etiquetas como las venezolana son prostitutas o los colombianos son narcos, no es así"
809,RT @jorgeborjajp: Ayer acá en Suiza presentaron un programa sobre la desesperada situación de los Venezolanos y Cuando hablaron de Colombia dijeron que bajaron los índices de crímenes por un acuerdo bilateral que hizo Santos con los criminales que les permite cultivar coca sin ser perseguidos.
811,"RT @Feraristeguieta: Qué dolor ver tantos hermanos venezolanos en las calles de Cali pidiendo dinero para sobrevivir. Tuvieron que huir del hambre, de la inseguridad, del desempleo, de la miseria. Todo por culpa de un grupete de desgraciados que siguen amarrados al poder. @NicolasMaduro sinvergüenza."
813,"RT @PoliciaBquilla: Con el apoyo aéreo de nuestro ""Halcón"" y en tierra con #MiPolicíaDelCuadrante, logramos la captura en flagrancia de una persona de nacionalidad venezolana por el delito de hurto. #PorUnaBarranquillaSegura @BquillaSegura https://t.co/9v6lQnYxeN"
814,"RT @Feraristeguieta: Qué dolor ver tantos hermanos venezolanos en las calles de Cali pidiendo dinero para sobrevivir. Tuvieron que huir del hambre, de la inseguridad, del desempleo, de la miseria. Todo por culpa de un grupete de desgraciados que siguen amarrados al poder. @NicolasMaduro sinvergüenza."
815,"RT @AlimieTorres: Me acaban de comentar un amigo en Costa Rica que conoce un par de ‘venezolanos’ que están comprando casas en + $350.000 y carros en +$60.000 a un solo pago y en efectivo. Le respondí: no son venezolanos, son los malditos ladrones chavistas que defalcaron al país."
818,"QT @LaurakRodi: Que duró saber que un disque ""Gobierno"" es causa de esto. Que peligro son las clases políticas que se benefician a si mismas sin importar los más vulnerables. Un ejemplo de lo que puede volver el centro democrático a los colombianos de clase baja. ; En una sola imagen la triste situación de los venezolanos, un padre sin saber qué hacer y un bebé sufriendo 💔 😭😢 No juzguen,no generalices,sé amable, tiende la mano, AMA. Eso es lo que nos hace humanos . !!! https://t.co/eCZOmLRbrh"
819,QT @El_Cooperante: RT @TAMARA_SUJU: Que vaya preso. Que cada Venezolano que cometa delito en paises que nos acogen sean juzgados con todo el peso de la Ley.… ; Venezolano cortó con una navaja el rostro de una mujer en Perú para robarle el celular https://t.co/roZPPdjI1s
821,"RT @Feraristeguieta: Qué dolor ver tantos hermanos venezolanos en las calles de Cali pidiendo dinero para sobrevivir. Tuvieron que huir del hambre, de la inseguridad, del desempleo, de la miseria. Todo por culpa de un grupete de desgraciados que siguen amarrados al poder. @NicolasMaduro sinvergüenza."
823,QT @rcnradio: RT @Negroconalma1: Es que son una plaga de mierda https://t.co/hoGaqmd3ET ; ¡Atraco masivo en bus de Transmilenio! banda de venezolanos atracó a diez pasajeros https://t.co/os56IgRtUP
828,"QT @lcvelez: @MigracionCol por favor, expulsar a estas personas ; #EnDesarrollo - @lafm reporta desde la terminal de transportes en Bogotá. Decenas de familias venezolanas perdidas, sin saber a dónde ir #MePasoALaFM https://t.co/ETUCHlxW16"
